TIME,X,Y,Z
53310,0.00,-0.01,-0.01
53339,0.00,-0.01,-0.02
53367,0.00,-0.01,-0.01
53395,0.00,-0.02,-0.01
53426,0.00,-0.02,0.00
53454,0.00,-0.02,0.00
53482,0.00,-0.01,0.00
53510,0.01,-0.01,-0.01
53538,0.00,-0.01,-0.01
53571,0.00,-0.02,0.00
53602,0.00,-0.01,-0.01
53630,0.01,-0.01,-0.01
53658,0.00,-0.01,-0.01
53686,0.00,-0.01,-0.01
53714,0.00,-0.01,-0.01
53743,0.00,-0.01,-0.01
53773,0.00,-0.01,-0.01
53801,0.00,-0.01,-0.01
53829,0.00,-0.02,-0.01
53858,0.00,-0.01,0.00
53886,0.00,-0.01,-0.01
53914,0.00,-0.01,-0.01
53942,0.00,-0.01,-0.01
53973,0.00,-0.02,-0.01
54001,0.00,-0.01,-0.01
54030,0.00,-0.01,-0.01
54058,0.00,-0.01,-0.01
54086,0.00,-0.01,-0.01
54114,0.00,-0.02,-0.01
54145,0.00,-0.01,-0.01
54174,0.00,-0.02,-0.01
54202,0.00,-0.01,-0.01
54230,0.00,-0.01,-0.02
54259,0.00,-0.02,0.00
54287,0.00,-0.01,-0.01
54315,0.00,-0.01,-0.01
54346,0.00,-0.02,-0.01
54377,0.00,-0.01,-0.01
54406,0.00,-0.01,-0.01
54434,0.00,-0.02,0.00
54462,0.00,-0.01,-0.01
54490,-0.02,-0.01,-0.01
54520,-0.04,-0.01,0.00
54549,-0.15,-0.02,-0.04
54576,-0.37,0.04,-0.06
54604,-0.60,-0.04,-0.11
54632,-0.74,-0.09,-0.13
54659,-0.88,-0.09,-0.13
54689,-1.09,-0.06,-0.17
54717,-1.30,-0.02,-0.13
54744,-1.38,-0.05,-0.13
54772,-1.54,-0.03,-0.08
54800,-1.58,0.03,-0.01
54828,-1.59,0.01,-0.10
54856,-1.52,-0.06,-0.21
54886,-1.39,-0.08,-0.26
54913,-1.34,-0.07,-0.26
54941,-1.28,-0.04,-0.28
54969,-1.22,-0.09,-0.28
54996,-1.28,-0.21,-0.21
55024,-1.28,-0.21,-0.03
55054,-1.20,-0.10,0.11
55081,-1.12,-0.09,0.07
55109,-1.09,-0.12,0.04
55137,-1.04,-0.07,0.09
55165,-0.93,0.02,0.08
55192,-0.74,-0.01,-0.11
55224,-0.65,-0.08,-0.23
55255,-0.65,-0.13,-0.20
55282,-0.65,-0.17,-0.11
55310,-0.67,-0.17,-0.05
55338,-0.64,-0.14,0.03
55365,-0.54,-0.13,0.06
55393,-0.39,-0.10,0.04
55423,-0.29,-0.08,-0.01
55451,-0.34,-0.07,0.02
55479,-0.27,-0.02,0.03
55507,-0.08,0.04,-0.04
55535,0.08,0.03,-0.13
55562,0.22,-0.01,-0.13
55590,0.36,0.02,-0.02
55620,0.66,0.10,0.10
55648,0.91,0.14,0.13
55675,1.06,0.18,0.05
55703,1.15,0.18,-0.02
55731,1.31,0.09,0.10
55758,1.71,0.14,0.16
55786,2.09,0.39,0.11
55815,2.18,0.44,0.19
55843,2.06,0.27,0.22
55870,2.07,0.13,0.13
55898,2.05,0.06,0.06
55925,1.86,0.01,0.09
55953,1.71,-0.03,0.10
55983,1.61,-0.05,0.06
56008,1.65,0.00,-0.02
56039,1.38,0.00,0.21
56067,1.19,-0.07,0.21
56095,1.04,-0.12,0.20
56122,1.04,-0.07,0.19
56150,1.01,-0.02,0.17
56180,0.99,-0.03,0.16
56205,0.94,-0.04,0.22
56233,0.14,-0.37,0.03
56261,0.03,-0.24,0.00
56288,0.02,-0.02,-0.01
56317,0.00,0.00,-0.03
56345,0.02,0.00,-0.03
56375,0.00,-0.02,-0.01
56403,0.00,-0.02,0.00
56431,0.00,-0.01,0.00
56459,0.00,-0.01,-0.01
56488,0.01,-0.01,-0.02
56516,0.00,-0.01,0.00
56547,0.00,-0.01,-0.01
56575,0.00,-0.01,-0.02
56603,0.00,-0.01,-0.02
56631,0.00,-0.01,-0.01
56659,0.00,-0.01,0.00
56687,0.01,-0.01,-0.01
56715,0.01,-0.01,-0.01
56745,0.00,-0.01,-0.01
56773,0.01,-0.01,-0.01
56801,0.00,-0.01,-0.01
56830,0.00,-0.01,-0.01
56862,0.00,-0.01,-0.01
56890,0.00,-0.01,-0.01
56921,0.00,-0.01,-0.01
56949,0.00,-0.01,-0.01
56977,0.00,-0.01,-0.02
57005,0.00,-0.01,-0.01
57033,0.00,-0.01,-0.01
57061,0.00,-0.02,-0.01
57090,0.00,-0.01,-0.01
57120,0.00,-0.01,-0.01
57148,0.00,-0.01,-0.01
57176,0.00,-0.01,-0.01
57204,0.01,-0.02,-0.01
57232,0.00,-0.01,-0.01
57260,0.00,-0.02,-0.01
57290,0.00,-0.01,-0.01
57318,0.00,-0.01,-0.01
57346,0.00,-0.01,-0.01
